相手のクラス,決着ターン,勝敗,自分のマリガン枚数,相手のマリガン回数,先後,撤退の使用
D,6,l,3,1,後,無
R,9,l,2,1,後,無
W,7,w,3,1,先,有
D,6,w,3,1,先,無
V,6,w,2,3,先,無
V,7,w,3,3,後,有
R,6,w,1,0,後,無
B,7,w,2,2,先,有
E,7,w,3,2,後,有
Nc,7,w,3,0,後,無
W,8,w,3,1,先,有
B,9,l,2,0,後,有
V,8,l,2,2,先,有
W,6,w,1,0,先,無
B,6,w,2,2,先,有
D,7,l,2,3,先,有
D,7,w,0,3,後,無
W,8,w,1,2,先,無
E,7,w,2,3,後,無
R,6,w,3,2,先,有
W,6,w,2,1,後,無
D,6,w,2,3,後,有
R,6,w,2,2,先,無
W,7,w,2,1,先,無
W,7,l,1,2,後,有
Nm,7,l,3,0,先,有
Nc,9,l,1,0,先,無
Nc,6,w,3,1,後,無
Nm,7,w,2,1,先,無
E,7,w,2,3,後,無
W,7,w,3,1,後,無
R,7,l,2,3,先,有
W,6,w,2,2,後,有
Nm,5,w,2,0,後,無
R,7,l,2,3,先,無
Nc,7,l,1,0,後,有
R,6,l,2,1,先,有
V,8,l,3,0,先,無
Nc,6,w,1,2,後,有
W,7,w,2,2,後,無
E,7,w,3,0,先,無
Nc,6,w,1,2,先,有
D,6,l,3,0,後,無
W,7,w,3,2,後,有
W,5,w,2,2,後,無
Nc,7,l,1,0,後,有
Nm,7,w,1,2,後,有
Nm,6,w,3,2,先,無
R,6,l,1,2,後,有
Nm,6,w,2,2,先,無
