opponent_class,finish_turn,result,player_hand_exchange,opponent_hand_exchange,order
V,4,l,2,2,second
Nm,6,l,1,2,first
W,7,l,1,0,second
W,6,l,3,3,first
R,6,l,3,1,second
D,6,l,3,0,second
Nm,7,w,3,0,first
Nc,6,l,1,1,second
Nc,4,l,3,1,second
Nc,6,l,3,2,first
W,7,l,1,2,first
Nc,6,w,2,3,first
W,7,l,3,2,first
V,5,l,3,3,first
V,3,w,3,1,second
W,5,l,2,2,first
Nm,6,w,0,1,second
Nc,6,l,3,3,first
W,5,l,3,2,first
W,6,w,1,1,first
V,5,w,0,0,first
D,6,w,1,0,first
Nm,6,w,3,1,second
Nc,5,w,2,2,first
W,6,w,3,2,first
W,6,l,2,0,first
B,6,l,3,2,second
Nm,6,w,3,1,second
Nc,6,w,1,3,first
W,6,l,3,2,first
V,5,w,2,2,second
W,6,l,3,2,first
B,7,l,3,2,first
Nc,6,l,3,2,first
B,6,l,3,1,first
Nm,6,l,3,0,second
R,6,w,2,2,first
D,6,w,1,1,first
D,5,l,3,3,second
W,6,l,3,3,first
V,7,w,2,2,first
Nm,5,w,3,3,second
Nm,5,l,3,1,second
Nc,10,w,3,2,first
W,7,w,3,0,second
Nc,7,w,3,1,second
Nc,6,l,2,2,second
Nm,7,w,3,2,second
Nm,6,l,1,1,second
B,7,l,3,0,first
